effect,priority,shield_time,effect_point_type,icon_pro,object,para1,damage,skill_effect_type,rate,skill_anim,effect_num_des,scale,name,attached_skill,des,icon,id,health_enable,effect_des,level,group,trigger,shield,cost,effect_num,type2,power,cure,anger,status,effect_path,type,type_des,object_num
"","","","1","UIPVEHeroAppear_img_skill_1002",1,"","500|560|620|680|740|800|860|920|980|1040","2","","","35070|35000|35004","0","160176","9200011","163285","skill_icon_1002",9100093,"","500%;0.015;0.015|560%;0.03;0.03|620%;0.045;0.045|680%;0.06;0.06|740%;0.075;0.075|800%;0.09;0.09|860%;0.105;0.105|920%;0.12;0.12|980%;0.135;0.135|1040%;0.15;0.15","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",11,"150165","1"
"35086|35086|35086|35086|35086|35086|35086|35086|35086|35086","","","1","UIPVEHeroAppear_img_skill_1001",0,"","","2","","VFX_pve_skill_timeline","35086","0","160174","","163289","skill_icon_1001",9100194,"","2%|4%|6%|8%|10%|12%|14%|16%|18%|20%","10","","","","2|3|4|5","2|4|6|8|10|12|14|16|18|20","","0|0|0|0|0","","","","",2,"163087","1"
"","","","1","UIPVEHeroAppear_img_skill_1002",1,"","500|560|620|680|740|800|860|920|980|1040","2","","","35070|35105","0","160134","9200010","163287","skill_icon_1002",9100193,"","500%;5%|560%;7%|620%;10%|680%;15%|740%;20%|800%;5%|860%;7%|920%;10%|980%;15%|1040%;20%","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",11,"150165","1"
"","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","","0","","","","skill_icon_1003",9100094,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",14,"","1"
"35084|35084|35084|35084|35084|35084|35084|35084|35084|35084","","","1","UIPVEHeroAppear_img_skill_1001",0,"","","2","","VFX_pve_skill_timeline","35084","0","160178","","163288","skill_icon_1001",9100095,"","2%|4%|6%|8%|10%|12%|14%|16%|18%|20%","10","","","","2|3|4|5","2|4|6|8|10|12|14|16|18|20","","0|0|0|0|0","","","","",2,"163087","1"
"40100;40101|40100;40101|40100;40101|40100;40101|40100;40101|40100;40101|40100;40101|40100;40101|40100;40101|40100;40101","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","40100|40101","0","163230","","163239","skill_icon_1003",9100096,"","1.5%;3%|3%;6%|4.5%;9%|6%;12%|7.5%;15%|9%;3%|10.5%;6%|12%;9%|13.5%;12%|15%;15%","10","","","","2|3|4|5","1.5;1.5|3;3|4.5;4.5|6;6|7.5;7.5|9;9|10.5;10.5|12;12|13.5;13.5|15;15","","0|0|0|0|0","","","","",2,"163087","1"
"35101|35101|35101|35101|35101|35101|35101|35101|35101|35101","","","1","UIPVEHeroAppear_img_skill_1004",0,"","","2","","VFX_pve_skill_timeline","35101","0","160182","","163292","skill_icon_1004",9100097,"0;50|0;50|0;50|0;50|0;50","3%|6%|9%|12%|15%|18%|21%|24%|27%|30%","10","","","","2|3|4|5","3|6|9|12|15|18|21|24|27|30","","0|0|0|0|0","","","","",16,"163087","1"
"35232|35232|35232|35232|35232|35232|35232|35232|35232|35232","","","1","UIPVEHeroAppear_img_skill_1004",0,"","","2","","VFX_pve_skill_timeline","35232","0","163294","","163297","skill_icon__025",9100098,"","5%|5%|5%|5%|5%|5%|5%|5%|5%|5%","1","","","","2|3|4|5","5|5|5|5|5|5|5|5|5|5","11","0|0|0|0|0","","","","",2,"163088","1"
"","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","","0","","","","skill_icon_1003",9100099,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"","","","1","UIPVEHeroAppear_img_skill_1002",1,"","180|210|240|270|300|330|360|390|420|450","2","","","35070","0","160186","","163005","skill_icon_1002",9100100,"","180%|210%|240%|270%|300%|330%|360%|390%|420%|450%","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",11,"150165","1"
"","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","","0","","","","skill_icon_1003",9100101,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",14,"","1"
"35109;40010|35109;40010|35109;40010|35109;40010|35109;40010|35109;40010|35109;40010|35109;40010|35109;40010|35109;40010","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","35109|40010","0","163255","","163252","skill_icon_003",9100102,"","5%;10%|10%;20%|15%;30%|20%;40%|25%;50%|30%;10%|35%;20%|40%;30%|45%;40%|50%;50%","10","","","","2|3|4|5","5;5|10;10|15;15|20;20|25;25|30;30|35;35|40;40|45;45|50;50","","0|0|0|0|0","","","","",1,"163087","1"
"31002|31002|31002|31002|31002|31002|31002|31002|31002|31002","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","31002","0","163214","","163217","skill_icon_017",9100103,"","2%|4%|6%|8%|10%|12%|14%|16%|18%|20%","10","","","","2|3|4|5","2|4|6|8|10|12|14|16|18|20","","0|0|0|0|0","","","","",1,"163087","1"
"35094|35094|35094|35094|35094|35094|35094|35094|35094|35094","","","1","UIPVEHeroAppear_img_skill_1004",0,"160186","","2","","VFX_pve_skill_timeline","35094","0","160188","","163264","skill_icon_1004",9100104,"","15%|30%|45%|60%|75%|90%|105%|120%|135%|150%","10","","","","2|3|4|5","15|30|45|60|75|90|105|120|135|150","","0|0|0|0|0","","","","",13,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","35135","0","160194","","163039","skill_icon_1003",9100105,"","50%|50%|50%|50%|50%|50%|50%|50%|50%|50%","1","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1002",1,"","300|350|400|450|500|550|600|650|700|750","","","","35070|35000|35004","0","160200","","163271","skill_icon_1002",9100106,"","300%;1%;1%|350%;2%;2%|400%;3%;3%|450%;4%;4%|500%;5%;5%|550%;6%;6%|600%;7%;7%|650%;8%;8%|700%;9%;9%|750%;10%;10%","10","","","","2|3|4|5","","","0|0|0|0|0","","","600052","",11,"150165","1"
"30167|30167|30167|30167|30167|30167|30167|30167|30167|30167","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","30167","0","164014","","164004","skill_icon_015",9100107,"","5|10|15|20|25|30|35|40|45|50","10","","","","2|3|4|5","5|10|15|20|25|30|35|40|45|50","","0|0|0|0|0","","","","",1,"163087","1"
"40102|40102|40102|40102|40102|40102|40102|40102|40102|40102","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","40102","0","163228","","163233","skill_icon_027",9100108,"","3%|6%|9%|12%|15%|18%|21%|24%|27%|30%","10","","","","2|3|4|5","3|6|9|12|15|18|21|24|27|30","","0|0|0|0|0","","","","",2,"163087","1"
"35087|35087|35087|35087|35087|35087|35087|35087|35087|35087","","","1","UIPVEHeroAppear_img_skill_1004",0,"","","2","","VFX_pve_skill_timeline","35087","0","160198","","163280","skill_icon_1004",9100109,"","3%|6%|9%|12%|15%|18%|21%|24%|27%|30%","10","","","","2|3|4|5","3|6|9|12|15|18|21|24|27|30","","0|0|0|0|0","","","","",2,"163087","1"
"","","","1","UIPVEHeroAppear_img_skill_1001",0,"160200","","2","","VFX_pve_skill_timeline","35064|35065","0","160202","","163283","skill_icon_1001",9100110,"","10%;10%|10%;10%|10%;10%|10%;10%|10%;10%|10%;10%|10%;10%|10%;10%|10%;10%|10%;10%","1","","","","2|3|4|5","","11","0|0|0|0|0","","","600053","",11,"163088","1"
"","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","","0","","","","skill_icon_1003",9100111,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"","","","","UIPVEHeroAppear_img_skill_1003",1,"","","","","","","0","","","","skill_icon_1003",9100112,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",11,"","1"
"","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","","0","","","","skill_icon_1001",9100113,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",1,"","1"
"","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","","0","","","","skill_icon_1004",9100114,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",1,"","1"
"","","","","UIPVEHeroAppear_img_skill_1002",0,"","","","","","","0","","","","skill_icon_1002",9100115,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",1,"","1"
"","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","","0","","","","skill_icon_1004",9100116,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"","","","","UIPVEHeroAppear_img_skill_1002",1,"","300|350|400|450|500|550|600|650|700|750","","","","35070","0","160170","","163005","skill_icon_1002",9100117,"","300%|350%|400%|450%|500%|550%|600%|650%|700%|750%","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",11,"150165","1"
"","","","","UIPVEHeroAppear_img_skill_1002",0,"","","","","","","0","","","","skill_icon_1002",9100118,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",14,"","1"
"30070;30099|30070;30099|30070;30099|30070;30099|30070;30099|30070;30099|30070;30099|30070;30099|30070;30099|30070;30099","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","30070|30099","0","160060","","163078","skill_icon_1001",9100119,"","10%;6min|20%;12min|30%;18min|40%;24min|50%;30min|60%;36min|70%;42min|80%;48min|90%;54min|100%;60min","10","","","","2|3|4|5","10;360|20;720|30;1080|40;1440|50;1800|60;2160|70;2520|80;2880|90;3240|100;3600","","0|0|0|0|0","","","","",1,"163087","1"
"40100|40100|40100|40100|40100|40100|40100|40100|40100|40100","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","40100","0","163228","","163231","skill_icon_027",9100120,"","3%|6%|9%|12%|15%|18%|21%|24%|27%|30%","10","","","","2|3|4|5","3|6|9|12|15|18|21|24|27|30","","0|0|0|0|0","","","","",2,"163087","1"
"35064|35064|35064|35064|35064|35064|35064|35064|35064|35064","","","1","UIPVEHeroAppear_img_skill_1004",0,"","","2","","VFX_pve_skill_timeline","35064","0","160170","","163272","skill_icon_1004",9100121,"70;100|70;100|70;100|70;100|70;100","3%|6%|9%|12%|15%|18%|21%|24%|27%|30%","10","","","","2|3|4|5","3|6|9|12|15|18|21|24|27|30","","0|0|0|0|0","","","","",16,"163087","1"
"35135|35135|35135|35135|35135|35135|35135|35135|35135|35135","","","1","UIPVEHeroAppear_img_skill_1001",0,"160170","","2","","VFX_pve_skill_timeline","35135","0","160080","","163300","skill_icon_1001",9100122,"","30%|30%|30%|30%|30%|30%|30%|30%|30%|30%","1","","","","2|3|4|5","30|30|30|30|30|30|30|30|30|30","11","0|0|0|0|0","","","","",13,"163088","1"
"30076;30065|30076;30065|30076;30065|30076;30065|30076;30065|30076;30065|30076;30065|30076;30065|30076;30065|30076;30065","","","1","UIPVEHeroAppear_img_skill_1001",0,"","","2","","","30076|30065","0","163204","","163061","skill_icon_008",9100123,"","2%;5%|4%;7%|6%;10%|8%;15%|10%;20%|12%;5%|14%;7%|16%;10%|18%;15%|20%;20%","10","","","","2|3|4|5","2;2|4;4|6;6|8;8|10;10|12;12|14;14|16;16|18;18|20;20","","0|0|0|0|0","","","","",1,"163087","1"
"35004|35004|35004|35004|35004|35004|35004|35004|35004|35004","","","1","UIPVEHeroAppear_img_skill_1003",0,"","","2","","VFX_pve_skill_timeline","35004","0","160098","","163202","skill_icon_019",9100124,"","0.5%|1%|1.5%|2%|2.5%|3%|3.5%|4%|4.5%|5%","10","","","","2|3|4|5","0.5|1|1.5|2|2.5|3|3.5|4|4.5|5","","0|0|0|0|0","","","","",2,"163087","1"
"30063|30063|30063|30063|30063|30063|30063|30063|30063|30063","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","30063","0","130192","","163063","skill_icon_036",9100125,"","1.5%|3%|4.5%|6%|7.5%|9%|10.5%|12%|13.5%|15%","10","","","","2|3|4|5","1.5|3|4.5|6|7.5|9|10.5|12|13.5|15","","0|0|0|0|0","","","","",2,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","35115","0","160048","","163043","skill_icon_1004",9100126,"","5%|5%|5%|5%|5%|5%|5%|5%|5%|5%","1","","","","2|3|4|5","","","0|0|0|0|0","","","","",1,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","","0","","","","skill_icon_1001",9100127,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"","","","1","UIPVEHeroAppear_img_skill_1002",1,"","500|560|620|680|740|800|860|920|980|1040","2","","","35070|35004","0","160160","","163286","skill_icon_1002",9100128,"","500%;0.015|560%;0.03|620%;0.045|680%;0.06|740%;0.075|800%;0.09|860%;0.105|920%;0.12|980%;0.135|1040%;0.15","10","","","","2|3|4|5","","","0|0|0|0|0","","","600056","",11,"150165","1"
"30070|30070|30070|30070|30070","","","","",0,"","","","","","30070","","110015","","220157","",101000,"","0|+20%|+30%|+40%|+50%","5","","","","","0|20|30|40|50","1","","","","","",3,"",""
"30071|30071|30071|30071|30071","","","","",0,"","","","","","30071","","150092","","220158","",101001,"","0|+20%|+30%|+40%|+50%","5","","","","","0|20|30|40|50","2","","","","","",3,"",""
"30105;30106|30105;30106|30105;30106|30105;30106|30105;30106","","","","",0,"","","","","","30105|30106","","104194","","220241","",101002,"","+10%|+20%|+30%|+40%|+50%","5","","","","","10;10|20;20|30;30|40;40|50;50","3","","","","","",3,"",""
"30107|30107|30107|30107|30107","","","","",0,"","","","","","30107","","104195","","220243","",101003,"","+10%|+20%|+30%|+40%|+50%","5","","","","","10|20|30|40|50","4","","","","","",3,"",""
"30070|30070|30070|30070|30070","","","","",0,"","","","","","30070","","110015","","220157","",101004,"","0|+20%|+30%|+40%|+50%","5","","","","","0|20|30|40|50","1","","","","","",3,"",""
"30071|30071|30071|30071|30071","","","","",0,"","","","","","30071","","150092","","220158","",101005,"","0|+20%|+30%|+40%|+50%","5","","","","","0|20|30|40|50","2","","","","","",3,"",""
"30105;30106|30105;30106|30105;30106|30105;30106|30105;30106","","","","",0,"","","","","","30105|30106","","104194","","220241","",101006,"","+10%|+20%|+30%|+40%|+50%","5","","","","","10;10|20;20|30;30|40;40|50;50","3","","","","","",3,"",""
"30107|30107|30107|30107|30107","","","","",0,"","","","","","30107","","104195","","220243","",101007,"","+10%|+20%|+30%|+40%|+50%","5","","","","","10|20|30|40|50","4","","","","","",3,"",""
"30070|30070|30070|30070|30070","","","","",0,"","","","","","30070","","110015","","220157","",101008,"","0|+20%|+30%|+40%|+50%","5","","","","","0|20|30|40|50","1","","","","","",3,"",""
"30071|30071|30071|30071|30071","","","","",0,"","","","","","30071","","150092","","220158","",101009,"","0|+20%|+30%|+40%|+50%","5","","","","","0|20|30|40|50","2","","","","","",3,"",""
"30105;30106|30105;30106|30105;30106|30105;30106|30105;30106","","","","",0,"","","","","","30105|30106","","104194","","220241","",101010,"","+10%|+20%|+30%|+40%|+50%","5","","","","","10;10|20;20|30;30|40;40|50;50","3","","","","","",3,"",""
"30107|30107|30107|30107|30107","","","","",0,"","","","","","30107","","104195","","220243","",101011,"","+10%|+20%|+30%|+40%|+50%","5","","","","","10|20|30|40|50","4","","","","","",3,"",""
"30070|30070|30070|30070|30070","","","","",0,"","","","","","30070","","110015","","220157","",101012,"","0|+20%|+30%|+40%|+50%","5","","","","","0|20|30|40|50","1","","","","","",3,"",""
"30071|30071|30071|30071|30071","","","","",0,"","","","","","30071","","150092","","220158","",101013,"","0|+20%|+30%|+40%|+50%","5","","","","","0|20|30|40|50","2","","","","","",3,"",""
"30105;30106|30105;30106|30105;30106|30105;30106|30105;30106","","","","",0,"","","","","","30105|30106","","104194","","220241","",101014,"","+10%|+20%|+30%|+40%|+50%","5","","","","","10;10|20;20|30;30|40;40|50;50","3","","","","","",3,"",""
"30107|30107|30107|30107|30107","","","","",0,"","","","","","30107","","104195","","220243","",101015,"","+10%|+20%|+30%|+40%|+50%","5","","","","","10|20|30|40|50","4","","","","","",3,"",""
"30070|30070|30070|30070|30070","","","","",0,"","","","","","30070","","110015","","220157","",101016,"","0|+20%|+30%|+40%|+50%","5","","","","","0|20|30|40|50","1","","","","","",3,"",""
"30071|30071|30071|30071|30071","","","","",0,"","","","","","30071","","150092","","220158","",101017,"","0|+20%|+30%|+40%|+50%","5","","","","","0|20|30|40|50","2","","","","","",3,"",""
"30105;30106|30105;30106|30105;30106|30105;30106|30105;30106","","","","",0,"","","","","","30105|30106","","104194","","220241","",101018,"","+10%|+20%|+30%|+40%|+50%","5","","","","","10;10|20;20|30;30|40;40|50;50","3","","","","","",3,"",""
"30107|30107|30107|30107|30107","","","","",0,"","","","","","30107","","104195","","220243","",101019,"","+10%|+20%|+30%|+40%|+50%","5","","","","","10|20|30|40|50","4","","","","","",3,"",""
"30070|30070|30070|30070|30070","","","","",0,"","","","","","30070","","110015","","220157","",101020,"","0|+20%|+30%|+40%|+50%","5","","","","","0|20|30|40|50","1","","","","","",3,"",""
"30071|30071|30071|30071|30071","","","","",0,"","","","","","30071","","150092","","220158","",101021,"","0|+20%|+30%|+40%|+50%","5","","","","","0|20|30|40|50","2","","","","","",3,"",""
"30105;30106|30105;30106|30105;30106|30105;30106|30105;30106","","","","",0,"","","","","","30105|30106","","104194","","220241","",101022,"","+10%|+20%|+30%|+40%|+50%","5","","","","","10;10|20;20|30;30|40;40|50;50","3","","","","","",3,"",""
"30107|30107|30107|30107|30107","","","","",0,"","","","","","30107","","104195","","220243","",101023,"","+10%|+20%|+30%|+40%|+50%","5","","","","","10|20|30|40|50","4","","","","","",3,"",""
"","","","","",1,"","50","","","","","0","","","","",100000,"","","","","","","","","","","","100","","",10,"","1"
"","","","1","UIPVEHeroAppear_img_skill_1001",1,"","300|350|400|500|600","2","","","35070","0","160006","","163005","skill_icon_1001",100001,"","300%|350%|400%|500%|600%","5","","","","2|3|4|5","","","0|0|0|0|0","","","","Assets/_Art/Effect/prefab/hero/Jiangjun/VFX_jiangjun_attack.prefab",11,"150165","1"
"","","","","UIPVEHeroAppear_img_skill_1002",0,"","","","","","","0","","","","skill_icon_1002",100002,"","","5","","","","2|3|4|5","","","0|0|0|0|0","","","","",14,"","1"
"","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","35099","0","160192","","163015","skill_icon_1003",100003,"","5%|7%|9%|15%|30%","5","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","35002|35006","0","160008","","163003","skill_icon_1004",100004,"","10;10|20;20|30;30|40;40|50;50","5","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","35100","0","160002","","163016","skill_icon_1001",100005,"","5%|7%|9%|15%|30%","5","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1002",0,"","","","","","35103|40020","0","160004","","163031","skill_icon_1002",100006,"","30%;100%|30%;100%|30%;100%|30%;100%|30%;100%","1","","","","2|3|4|5","","11","0|0|0|0|0","","","","",2,"163088","1"
"","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","","0","","","","skill_icon_1003",100007,"","","5","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"","","","1","UIPVEHeroAppear_img_skill_1004",1,"","100|150|200|300|400","2","","","","0","160080","","","skill_icon_1004",100008,"","","5","","","","2|3|4|5","","","0|0|0|0|0","","","","Assets/_Art/Effect/prefab/scene/VFX_Longjuanfeng.prefab",11,"","1"
"","","","1","UIPVEHeroAppear_img_skill_1004",1,"","100|150|200|300|400","2","","","","0","160080","","","skill_icon_1004",100009,"","","5","","","","2|3|4|5","","","0|0|0|0|0","","","","Assets/_Art/Effect/prefab/scene/VFX_Longjuanfeng.prefab",11,"","1"
"","","","1","UIPVEHeroAppear_img_skill_1004",1,"","300|350|400|500|600","2","","","","0","160080","","","skill_icon_1004",100010,"","","5","","","","2|3|4|5","","","0|0|0|0|0","","","","Assets/_Art/Effect/prefab/scene/VFX_Longjuanfeng.prefab",11,"","1"
"","","","1","UIPVEHeroAppear_img_skill_1004",1,"","500|600|700|900|1100","2","","","","0","160080","","","skill_icon_1004",100011,"","","5","","","","2|3|4|5","","","0|0|0|0|0","","","","Assets/_Art/Effect/prefab/scene/VFX_Longjuanfeng.prefab",11,"","1"
"","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","","0","","","","skill_icon_1004",100012,"","","5","","","","2|3|4|5","","","0|0|0|0|0","","","","",1,"","1"
"","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","","0","","","","skill_icon_1001",100013,"","","5","","","","2|3|4|5","","","0|0|0|0|0","","","","",1,"","1"
"","","","","UIPVEHeroAppear_img_skill_1002",0,"","","","","","","0","","","","skill_icon_1002",100014,"","","5","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"","","","1","UIPVEHeroAppear_img_skill_1003",1,"","","2","","VFX_pve_skill_timeline","35000|35004","0","160038","","163000","skill_icon_1003",100015,"","5;5|10;10|15;15|20;20|25;25","5","","","","2|3|4|5","","","0|0|0|0|0","","","","Assets/_Art/Effect/prefab/hero/Jiangjun/VFX_jiangjun_attack.prefab",2,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1004",1,"","500|600|700|900|1100","","","","35070","0","160138","","163005","skill_icon_1004",100016,"","500%|600%|700%|900%|1100%","5","","","","2|3|4|5","","","0|0|0|0|0","","","","",11,"150165","1"
"30109|30109|30109|30109|30109","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","30109","0","164009","","164005","skill_icon_1001",100017,"","30%|60%|90%|120%|150%","5","","","","2|3|4|5","30|60|90|120|150","","0|0|0|0|0","","","","",1,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1002",0,"","","","","","35115","0","160030","","163043","skill_icon_1002",100018,"","5%|5%|5%|5%|5%","1","","","","2|3|4|5","","11","0|0|0|0|0","","","","",1,"163088","1"
"","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","","0","","","","skill_icon_1003",100019,"","","5","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"","","","1","UIPVEHeroAppear_img_skill_1004",0,"","","2","","","35000|35004","0","160046","","163000","skill_icon_1004",100020,"","5;5|10;10|15;15|20;20|25;25","5","","","","2|3|4|5","","","0|0|0|0|0","","","","Assets/_Art/Effect/prefab/hero/Jiangjun/VFX_jiangjun_attack.prefab",2,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","35125","0","160088","","163070","skill_icon_1001",100021,"","20%|30%|40%|50%|100%","5","","","","2|3|4|5","","","0|0|0|0|0","","","","",1,"163087","1"
"30109|30109|30109|30109|30109","","","","UIPVEHeroAppear_img_skill_1002",0,"","","","","","30109","0","164006","","164005","skill_icon_1002",100022,"","3%|6%|9%|12%|15%","5","","","","2|3|4|5","3|6|9|12|15","","0|0|0|0|0","","","","",1,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","40020","0","160018","","163047","skill_icon_1003",100023,"","5%|5%|5%|5%|5%","1","","","","2|3|4|5","","11","0|0|0|0|0","","","","",1,"163088","1"
"","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","","0","","","","skill_icon_1004",100024,"","","5","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"","","","1","UIPVEHeroAppear_img_skill_1001",0,"","","2","","","35000|35004","0","160048","","163000","skill_icon_1001",100025,"","5;5|10;10|15;15|20;20|25;25","5","","","","2|3|4|5","","","0|0|0|0|0","","","","Assets/_Art/Effect/prefab/hero/Jiangjun/VFX_jiangjun_attack.prefab",2,"163087","1"
"30092;30064|30092;30064|30092;30064|30092;30064|30092;30064","","","","UIPVEHeroAppear_img_skill_1002",0,"","","","","","30092|30064","0","160052","","163062","skill_icon_1002",100026,"","10%;10%|15%;15%|20%;20%|25%;25%|30%;30%","5","","","","2|3|4|5","10;10|15;15|20;20|25;25|30;30","","0|0|0|0|0","","","","",1,"163087","1"
"31007;73|31007;73|31007;73|31007;73|31007;73","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","31007|73","0","160076","","163067","skill_icon_1003",100027,"","10%;100|15%;150|20%;200|25%;250|30%;300","5","","","","2|3|4|5","10;100|15;150|20;200|25;250|30;300","","0|0|0|0|0","","","","",1,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","35116","0","160076","","163048","skill_icon_1004",100028,"","10%|10%|10%|10%|10%","1","","","","2|3|4|5","","11","0|0|0|0|0","","","","",1,"163088","1"
"","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","","0","","","","skill_icon_1001",100029,"","","5","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"","","","","UIPVEHeroAppear_img_skill_1002",0,"","","","","","35071","0","160054","","163009","skill_icon_1002",100030,"","500%|550%|600%|650%|700%","5","","","","2|3|4|5","","","0|0|0|0|0","500|550|600|650|700","","","",11,"150165","1"
"30170|30170|30170|30170|30170","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","30170","0","164013","","164002","skill_icon_1003",100031,"","30|50|70|90|150","5","","","","2|3|4|5","30|50|70|90|150","","0|0|0|0|0","","","","",1,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","35000|35004","0","160062","","163000","skill_icon_1004",100032,"","10;10|20;20|30;30|40;40|50;50","5","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","35105","0","160058","","163075","skill_icon_1001",100033,"","5%|7%|9%|15%|30%","5","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1002",0,"","","","","","40049","0","160060","","163066","skill_icon_1002",100034,"","20%|20%|20%|20%|20%","1","","","","2|3|4|5","","11","0|0|0|0|0","","","","",1,"163088","1"
"","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","","0","","","","skill_icon_1003",100035,"","","5","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"","","","1","UIPVEHeroAppear_img_skill_1004",0,"","","2","","","35000|35004","0","160178","","163000","skill_icon_1004",100036,"","5;5|10;10|15;15|20;20|25;25","5","","","","2|3|4|5","","","0|0|0|0|0","","","","Assets/_Art/Effect/prefab/hero/Jiangjun/VFX_jiangjun_attack.prefab",2,"163087","1"
"30076;30065|30076;30065|30076;30065|30076;30065|30076;30065","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","30076|30065","0","160130","","163061","skill_icon_1001",100037,"","10%;10%|15%;15%|20%;20%|25%;25%|30%;30%","5","","","","2|3|4|5","10;10|15;15|20;20|25;25|30;30","","0|0|0|0|0","","","","",1,"163087","1"
"30109|30109|30109|30109|30109","","","","UIPVEHeroAppear_img_skill_1002",0,"","","","","","30109","0","164007","","164005","skill_icon_1002",100038,"","10%|20%|30%|40%|50%","5","","","","2|3|4|5","10|20|30|40|50","","0|0|0|0|0","","","","",1,"163087","1"
"31007;73|31007;73|31007;73|31007;73|31007;73","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","31007|73","0","160076","","163067","skill_icon_1003",100039,"","10%;100|15%;120|20%;150|25%;200|30%;300","1","","","","2|3|4|5","10;100|15;120|20;150|25;200|30;300","11","0|0|0|0|0","","","","",1,"163088","1"
"","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","","0","","","","skill_icon_1004",100040,"","","5","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
